sentence1,sentence2,score
"CCAG supported Bill Curry, Rowland's opponent in the 2002 gubernatorial election.","Mr. Swan's group supported the governor's Democratic opponent, Bill Curry, in the 2002 election.",0.6
They later fell out and have backed a series of rival Congolese militias in recent years.,"The two invading countries later fell out, and have since backed rival factions.",0.7
Another said its members would continue to call the more than 50 million phone numbers on the Federal Trade Commission's list.,"Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.",0.4
Veteran entertainer Bob Hope celebrates his 100th birthday - and many years in showbusiness - on Thursday.,Hollywood and the world are gearing up to celebrate legendary entertainer Bob Hope's 100th birthday on Thursday.,0.75
Declining issues outnumbered advancers nearly 2 to 1 on the New York Stock Exchange.,Advancers outnumbered decliners by nearly 8 to 3 on the NYSE and more than 11 to 5 on Nasdaq.,0.36
"A floating airfield with a flight deck covering 4.5 acres, the ship took about five years to build.","The Reagan, a floating airfield with a flight deck covering 4.5 acres, is the ninth Nimitz-class carrier to be built at the Newport News shipyard.",0.53
"Im very proud of the citizens of this state, said Gov. John Baldacci, a casino foe.","""I´m very proud of the citizens of this state,"" Gov. John Baldacci said after votes from Tuesday´s referendum were counted.",0.76
An injured woman co-worker also was hospitalized and was listed in good condition.,"A woman was listed in good condition at Memorial's HealthPark campus, he said.",0.44
"The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.","The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.",0.87
"They reported symptoms of fever, headache, rash and muscle aches.","Symptoms include a stiff neck, fever, headache and sensitivity to light.",0.47
"""We've become like total strangers,"" Klein quotes him as saying.","""We've become like total strangers,"" John told a pal two days before his death.",0.65
"Davey graduated Saturday from Northwest College, which is affiliated with the Assemblies of God, with a bachelor of arts degree in religion and philosophy.","Davey started attending Northwest College, which is affiliated with the Assemblies of God, in 1999 with plans to become a minister.",0.45
"The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points, or 1.42 percent, to 1,630.08.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.",0.15
"""It was a final test before delivering the missile to the armed forces.",State radio said it was the last test before the missile was delivered to the armed forces.,0.8
"""Your withdrawal from our country is inevitable, whether it happens today or tomorrow, and tomorrow will come soon.""","""Your withdrawal from our country is inevitable, whether it happens today or tomorrow,"" added the voice, which signed off giving the date as ""mid-September.""",0.7
"According to a news release sent by the Terry Schindler-Schiavo Foundation, Florida Speaker Johnnie Byrd will introduce ""Terri's Bill"" during the special session Monday.","Florida's Speaker of the House Johnnie Byrd, is expected to introduce ''Terri's Bill'' during a one-day special session of the state legislature being held today in Tallahassee.",0.75
"Also, businesses throughout Utah are volunteering to display Amber alerts on their signs.",Other businesses are volunteering to put the alerts on their electronic signs and billboards.,0.75
"Thanks to the euro's rise against the Japanese currency, the dollar was at 117.24 yen, well above the overnight 10-month low of 116 yen.","The euro's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday.",0.85
"Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion.","The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.",0.8
"For the year, it expects sales of $94 million and a profit of 26 cents a share from continuing operations.",This is an increase from the $22.5 million and 5 cents a share previously forecast.,0.15
"After Hughes refused to rehire Hernandez, he complained to the Equal Employment Opportunity Commission.",Hernandez filed an Equal Employment Opportunity Commission complaint and sued.,0.68
"Dewhurst's proposal calls for an abrupt end to the controversial ""Robin Hood"" plan for school finance.","The committee would propose a replacement for the ""Robin Hood"" school finance system.",0.52
Other countries and private creditors are owed at least $80 billion in addition.,Other countries are owed at least $US80 billion ($108.52 billion).,0.68
"Telemarketers who call numbers on the list after Oct. 1 could face fines of up to $11,000 per call.","Under the law, telemarketers who call numbers on the list can be fined up to $11,000 for each violation.",0.72
He explained that he found Antetonitrus when he came to Wits in 2001 as a post-doctoral research assistant at England's University of Bristol.,He explained that he found antetonitrus when he came to Wits in 2001 while a post-doctoral research assistant at Bristol University in Britain.,1.0
"Air Canada, the largest airline in Canada and No. 11 in the world, has been under court protection from creditors since April 1.","The No. 11 airline in the world, Air Canada has been under court protection from creditors since April 1.",0.85
The jury also found Gonzales guilty of using excessive force by dousing Olvera-Carrera with pepper spray.,Gonzales was found guilty of using excessive force by spraying Olvera with pepper spray.,0.85
"The bodies of some of the dead, pulled out from under the train, were laid out beside the tracks while emergency services brought in wooden coffins.","The bodies of many of the dead, pulled from under the partially derailed train, were laid out by the tracks awaiting identification.",0.65
"Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.",Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.,0.85
"""Enron company executives engaged in widespread and pervasive fraud,"" prosecutor Samuel Buell told the Associated Press.","""Enron company executives engaged in widespread and pervasive fraud to manipulate the company's earnings results,"" Buell said.",0.75
"Customers that pay the $1,219 entrance fee get SMS 2003 with 10 device client access licenses.","Retail pricing for SMS 2003 with 10 device client access licenses is $1,219.",0.87
Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.,0.78
"""The recent turnaround in the stock market and an easing in unemployment claims should keep consumer expectations at current levels and may signal more favorable economic times ahead.""","The recent turnaround in the stock market and an easing in unemployment claims ""may signal more favorable economic times ahead,"" she said.",0.79
"While the day's trading was lackluster, the Standard & Poor's 500 index was preparing to close out its best three-month period since the fourth quarter of 1998.","The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998.",0.75
ONA explicitly stated that it did not receive intelligence material indicating that Jemaah Islamiyah terrorist network was planning to mount an operation in Bali.,"""But at no stage did ONA receive intelligence material indicating that Jemaah Islamiyah was planning to mount an operation in Bali.""",0.85
"Those reports were denied by the interior minister, Prince Nayef.","However, the Saudi interior minister, Prince Nayef, denied the reports.",0.85
Bryant previously said that hike had a greater impact on demand than officials expected.,Chief financial officer Andy Bryant has said that hike had a greater affect volume than officials expected.,0.7
"Judge Leroy Millette Jr. can reduce the punishment to life in prison without parole when Muhammad is formally sentenced Feb. 12, but Virginia judges rarely take such action.","Though the judge can reduce the punishment to life in prison without parole, experts say Virginia judges rarely take that opportunity.",0.65
A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night.,A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.,0.6
"Ray Brent Marsh, 29, faces multiple counts of burial service fraud, making false statements, abuse of a dead body and theft.","Ray Brent Marsh, 29, also faces charges of abuse of a body, and theft.",0.76
"After that, college President Paul Pribbenow told him to wrap up his speech.","After Hedges' microphone was unplugged for a second time, Pribbenow told him to wrap up his speech.",0.68
"For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.","For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.",0.77
"Ricky Clemons' brief, troubled Missouri basketball career is over.","Missouri kicked Ricky Clemons off its team, ending his troubled career there.",0.8
US military officials say rotor wash from the helicopter might have blown down the banner.,"US officials said downward ""rotor wash"" generated by the hovering helicopter stripped the flag from the tower.",0.68
The settlement taking effect this week was reached less than two months after O'Malley took the helm of the nation's fourth-largest archdiocese.,"The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.",0.6
"The U.S. Capitol was evacuated yesterday after authorities detected a possibly hazardous material in the basement of the Senate wing, Capitol Police said.","U.S. Capitol Police evacuated the Capitol yesterday after a sensor detected a possible biohazard in the Senate wing, but authorities later said it was a false alarm.",0.64
"The former president also gave numerous speeches in 2002 without compensation, said his spokesman Jim Kennedy.",His spokesman Jim Kennedy said the former president also gave more than 70 speeches in 2002 without compensation.,0.72
"The broader Standard & Poor's 500 Index .SPX was down 0.04 points, or 0 percent, at 971.52.","Standard & Poor's 500 stock index futures for June were down 2.60 points at 965.70, while Nasdaq futures were down 7.50 points at 1,183.50.",0.32
"Dubbed Project Mad Hatter, the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows.","Designed to compete with Microsoft Corp., Project Mad Hatter is being positioned by Sun as a cheaper, secure alternative desktop operating system to Microsoft's various desktop offerings.",0.76
A key figure in former state Treasurer Paul Silvester's bribery scheme was accused Wednesday of changing his story about Silvester's alleged corrupt dealings with a Boston investment firm.,A key player in former state Treasurer Paul Silvester's corruption scheme testified on Tuesday about kickbacks and bribes Silvester traded for state business.,0.4
"""The mission of the CAPPS II system has been and always will be aviation security,"" said the administration, part of the Homeland Security Department.","""The mission of the CAPPS II system has been and always will be aviation security,"" they said.",0.72
"Hovan did not speak, but his lawyer, John Speranza, said his client ""did not wake up that day"" intending to hurt anyone.","Hovan ""did not wake up that day"" intending to hurt anyone, defense attorney John Speranza said.",0.9
"""We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment,"" Daschle wrote.","""We believe that it is not necessary to have a divisive confirmation fight,"" Daschle of South Dakota wrote the Republican president.",0.8
"Yahoo accounts for 159,354 of the BSD sites, with 152,054 from NTT/Verio and 129,378 from Infospace, the survey found.","Another 152,054 are from IP services company NTT/Verio, and 129,378 from InfoSpace, the survey found.",0.6
"In the latest top-level shuffle at CNN, Teya Ryan is leaving her post as general manager of U.S. programming, the network announced.","In CNN's latest move to rejuvenate ratings, the network has ousted Teya Ryan, general manager of U.S. programming.",0.75
"He is suspected of being a key figure in Jemaah Islamiyah, the al-Qa'eda-linked terror group which has been blamed for the bombings.","Samudra, 32, is suspected of being a key figure in the al-Qaida-linked terror group Jemaah Islamiyah, which has been blamed for carrying out the bombings.",0.68
"About 100 firefighters are in the bosque today, Albuquerque Fire Chief Robert Ortega said.","""We were seconds away from having that happen,"" Albuquerque Fire Chief Robert Ortega said.",0.36
"""The issue has been resolved,"" Marlins President David Samson said through a club spokesman.","The Marlins only said: ""The issue has been resolved.""",0.6
China's Health Ministry said five more people had died of Sars and a further 159 were infected.,"On Monday, China said nine more people had died from SARS and that 160 more were infected with the virus.",0.6
"Shares of McDonald's rose $1.83, or 8.3 percent, to close at the day's high of $23.89.",McDonald's shares rose $1.83 to close Friday at $23.89 on the New York Stock Exchange.,0.85
He said the FDA was hoping Congress and the courts would bring clarity to the situation and some financial relief to consumers.,He said FDA hopes Congress and the courts will bring clarity to the situation and some financial relief to consumers — perhaps before the 2004 elections.,0.8
Ernst & Young admitted no wrongdoing with the settlement.,Ernst & Young spokesman Kenneth Kerrigan said the firm admits no wrongdoing.,0.8
"The witness, a 27-year-old Kosovan parking attendant with criminal convictions for dishonesty, was paid 10,000 by the News of the World.","The witness was a 27-year-old Kosovan parking attendant, who was paid by the News of the World, the court heard.",0.72
The differences between Grassley and Thomas on energy and Medicare have become so pointed that other members say their angry personal relationship is embarrassing the party.,Their differences on energy and Medicare have become so pointed other members say it is embarrassing to the party.,0.7
"He wounded a security guard and then fled, stabbing two passersby as he ran off along the promenade.",He then stabbed two passersby as he fled along a promenade by the Mediterranean Sea.,0.64
He and his colleagues attributed some of the communication gap to doctors feeling pressed for time.,He attributed some of the communication gap to doctors feeling pressed for time; patients cited discomfort discussing financial issues.,0.68
State police said as many as 30 workers were trapped immediately after the garage collapsed.,"As many as 30 people were believed to be trapped inside initially, the state police said.",0.8
"OS ANGELES - ''The Hulk'' was a monster at the box office in its debut weekend, taking in a June opening record of $62.6 million.","""The Hulk"" took in $62.6 million at the box office, a monster opening and a new June record.",0.96
Congratulations on being named Time magazine's Person of the Year.,Time magazine named the American soldier its Person of the Year for 2003.,0.48
"The indictment said he attended important meetings to plan the attacks, recruited fellow bombers and coordinated the operation.","Samudra not present in Bangkok, the indictment said, but attended a series of meetings before the attacks, recruiting fellow bombers and coordinating the operation.",0.64
It will also give Microsoft an opportunity to comment on remedies proposed by the Commission.,"Among other things, Microsoft is to comment on proposed remedies in its response.",0.84
Texans saddled with skyrocketing homeowners premiums might finally be getting relief.,Relief is in sight for Texans saddled with skyrocketing homeowners insurance premiums.,1.0
Six Democrats are vying to succeed Jacques and have qualified for the Feb. 3 primary ballot.,Six Democrats and two Republicans are running for her seat and have qualified for the Feb. 3 primary ballot.,0.68
"Halliburton on Tuesday reiterated its contention that KBR had ""delivered fuel to Iraq at the best value, the best price and the best terms"".","""We believe KBR delivered fuel to Iraq at the best value, the best price and the best terms,"" Halliburton spokeswoman Wendy Hall said.",0.8
"Elecia Battle, of Cleveland, told police she dropped her purse as she left the Quick Shop Food Mart last week after buying the ticket.",Elecia Battle dropped her purse after buying the Mega Millions Lottery ticket last week and believes the ticket blew away.,0.67
"Customers include Mitsubishi, Siemens, DBTel, Dell, HP, Palm, Philips, Sharp, and Sony.","MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.",0.64
The Cleveland Cavaliers won the right to draft James by winning the NBA's annual lottery Thursday night.,"Such was the case Thursday night when the Cleveland Cavaliers won the ""LeBron James Lottery,"" otherwise known as the NBA draft lottery.",0.8
"Among the workers, the researchers found short workers had worse hearing than expected for their age.","""Short workers had worse hearing than expected by age -- three times more often than taller workers,"" writes Barrenas.",0.76
Mr Colpin did not specify whether it was this system that was at the centre of the investigation.,Neither OLAF nor the Belgian prosecutors have specified if it was this system that was at the centre of the investigation.,0.44
"Until now, sales of the entertainment-oriented PCs have been limited to the United States, Canada and Korea.","The computers are currently sold in Canada, the United States, and Korea.",0.75
Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.,"In the memo, Ballmer reiterated the open-source threat to Microsoft.",0.6
The broad Standard & Poor's 500-stock index was up 4.83 points or 0.49 per cent to 980.76.,"Standard & Poor's 500 stock index futures declined 4.40 points to 983.50, while Nasdaq futures fell 6.5 points to 1,206.50.",0.25
"Talabani told him the Governing Council would ""need UN assistance and advice in implementing the new decisions which have been taken.""","Talabani told him Iraqi leaders would ""need U.N. assistance and advice in implementing the new decisions which have been taken"" on organising an interim Iraqi government by June.",0.65
"Stanford (46-15) plays South Carolina (44-20) today in a first-round game at Rosenblatt Stadium in Omaha, Neb.",Stanford (46-15) plays South Carolina (44-20) on Friday in the opening game of the double-elimination tournament.,0.67
"The same survey a month ago had Street leading Katz 42 percent to 34 percent, with 21 percent undecided.","One month ago in the same poll, Katz was leading 46 to 40 percent.",0.4
"The broad Standard & Poor's 500 Index <.SPX> advanced 11 points, or 1.25 percent, to 931.","The Standard & Poor's 500 Index gained 10.89, or 1.2 percent, to 931.12 as of 12:01 p.m. in New York.",0.6
But they don’t realize that until it’s too late (of course) because they’re potential victims in a horror movie.,But they don't realize that until it's too late (of course) because they're potential victims.,0.73
"Arthur Benson, attorney for the case's plaintiff schoolchildren, said he will appeal.",An attorney for plaintiff schoolchildren said he plans to appeal.,0.73
The euro has slipped nearly four percent since matching a record peak of around $1.1935 only last week and hitting an all-time high of 140.90 yen in late May.,The euro has slipped as much as four cents since matching a record peak near $1.1935 last week and hitting a record high of 140.90 yen in late May.,0.87
"Pennsylvania, which has the most aggressive treatment program, is treating 548 of 8,030 inmates.","Texas, which has more than three times Michigan's inmate population, is treating 328 of its 16,298 infected inmates.",0.27
The tech-loaded Nasdaq composite rose 20.96 points to 1595.91 to end at its highest level for 12 months.,"The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",0.44
"With the Expose feature, all open windows shrink to fit on the screen but are still clear enough to identify.","With the Expose (ex-poh-SAY) feature, all the open windows on the desktop immediately shrink to fit on the screen but are still clear enough to identify.",0.88
"Instead, prosecutors dismissed charges and Rucker left the courtroom a free man.",Instead he left the courtroom a free man after authorities dismissed criminal charges.,0.68
"""This case was both mentally challenging and emotionally exhausting,"" said the foreman, Jim Wolfcale, a 41-year-old minister.","Jim Wolfcale, the jury foreman and a minister, said, ""This case was both mentally challenging and emotionally exhausting.""",0.84
He arrives later this week on the first state visit by a US President.,Mr Bush arrives on Tuesday on the first state visit by an American President.,0.6
"The deal, approved by both companies' board of directors, is expected to be completed in the third quarter of Nvidia's fiscal third quarter.",The acquisition has been approved by both companies' board of directors and is expected to close in the third quarter this year.,0.68
"The volatile mix could drag the session beyond the four days allotted by Bush, said Senate President Jim King.","The Senate might support capping noneconomic damages beyond the $250,000 Gov. Jeb Bush proposes, said Senate President Jim King.",0.55
More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang.,More than 100 officers launched the London raids in the final phase of a two-year operation investigating a cocaine and money laundering ring.,0.8
"Stripping out the extraordinary items, fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year.",Earnings were 59 cents a share for the three months ended May 25 compared with 15 cents a share a year earlier.,0.2
"But at age 15, she had reached 260 pounds and a difficult decision: It was time to try surgery.","But at the age of 15, she weighed a whopping 117kg and came to a difficult decision: it was time to try surgery.",0.85
"""If we could do that throughout the world, we could end terrorism,"" he said.","This is a hospital that treats everybody as people, and if we could do that throughout the world, we could end terrorism.""",0.7
"If it's a Bill Gates Comdex keynote, it must be time for new Tablet PCs.","If it's the Sunday night before Comdex, it must be time for yet another Bill Gates keynote.",0.61
"According to reports, Knight allegedly punched a parking attendant outside a Los Angeles nightclub.",He was arrested last week for allegedly punching a parking attendant outside a nightclub in LA.,0.65
"Among those waiting a turn was Jodie Singer, a sixth-grader from Washington, D.C.","Jodie Singer, a sixth-grader from Washington, D.C., anxiously awaited her turn at the microphone.",0.75
But the cancer society said its study had been misused.,The American Cancer Society and several scientists said the study was flawed in several ways.,0.45
Both are being held in the Armstrong County Jail.,Tatar was being held without bail in Armstrong County Prison today.,0.5
"A few miles further east is Tehuacan, where corn may first have been domesticated 4,000 years ago.","A few miles west are the pyramids of Teotihuacan, where corn may first have been domesticated 4,000 years ago.",0.75
"The confusion capped a tumultuous week for the list, which is intended to block about 80 percent of telemarketing calls.",The free service was originally intended to block about 80 percent of telemarketer calls.,0.65
"""Our strong preference is to achieve a financial restructuring out of court, and we remain hopeful we can do so,"" chief executive Marce Fuller said.","""Our strong preference is to achieve a financial restructuring out of court,"" Mirant CEO Marce Fuller said in a prepared statement early Friday.",0.8
Named in the complaint were former chief executive officers Paul A. Allaire and G. Richard Thoman and former CFO Barry D. Romeril.,The executives fined included former Chief Executives Paul A. Allaire and G. Richard Thoman as well as former Chief Financial Officer Barry Romeril.,0.69
"Chera Larkins, 32, of Manhattan, charged with three sham marriages, is also charged with perjury and filing a false instrument.","Chera Larkins, 32, of Manhattan, charged with perjury and filing a false instrument in three marriage applications.",0.92
It estimated on Thursday it has a 51 percent market share in Europe.,Boston Scientific said it has gained 51 percent of the coated-stent market in Europe.,0.56
The Senate Banking Committee is scheduled to hold a hearing on Tuesday where Donaldson is scheduled to testify on hedge and mutual funds.,"The Senate Banking Committee is scheduled to hold a hearing on Tuesday, when Donaldson will be questioned about hedge and mutual funds.",0.96
"The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.","The broader Standard & Poor's 500 Index .SPX was down 0.04 points, or 0 percent, at 971.52.",0.12
Mr Morse is charged with assault and Mr Darvish is charged with filing a false report.,His partner Bijan Darvish is charged with filing a false police report.,0.55
"The third appointment was to a new job, executive vice president and chief staff officer.","Bruce N. Hawthorne, 53, was named executive vice president and chief staff officer.",0.65
"Analysts had been expecting a net loss of 54 cents a share, according to Thomson First Call.","Analysts had forecast second quarter sales of $614 million, according to the Thomson First Call Web site.",0.3
The district also sent letters yesterday informing parents of the situation.,Parents received letters informing them of the possible contamination yesterday.,0.6
Richard Grasso quit as chairman last week after losing the support of his board amid public furor over his $140 million pay package.,Grasso quit last week in the wake of a firestorm of criticism over his $140 million compensation package.,0.76
"The new servers will run either Linux or the x86 version of Solaris, he said.",The servers can run Solaris x86 operating system or the standard Linux operating system.,0.86
"Sliding down the ice, Moriarty and Carella hit the spongy, rocky floor of the river and immediately felt the pull.","Sliding down the embankment, the two rescuers hit the spongy, rocky floor of the river and immediately felt the pull.",0.68
Cadbury Schweppes plc plans to cut 5500 jobs and shut factories after a 4.9 billion ($A11.9 billion) acquisition spree over the past three years inflated costs.,"Cadbury Schweppes has unveiled plans to slash 5,500 jobs and 20 percent of its factories over four years to cut costs brought about by an acquisition spree.",0.64
Mr. Sweeney outlined plans for the campaign in a speech last night in Philadelphia at the annual meeting of the American Political Science Association.,Sweeney was to outline plans for the campaign in a speech on Saturday night at the annual meeting of the American Political Science Association.,0.7
"It seemed like an isolated incident,"" said Ariel Dean of Washington D.C., who earned a degree in political science.","It seemed like an isolated incident,'' said graduate Ariel Dean of Washington, D.C.",0.75
The jury awarded TVT about $23 million in compensatory damages and roughly $108 million in punitive damages.,"TVT Records sought $360 million in punitive damages and $30 million in compensatory damages, officials said.",0.35
"TVT Records sought $360 million in punitive damages and $30 million in compensatory damages, officials said.",The damages included $24 million in compensatory damages and $52 million in punitive damages for IDJ.,0.25
The two Democrats on the five-member FCC panel held a news conference to sway opinion against Powell.,The two Democrats on the five-member FCC held a news conference to sway opinion against Powell and the panel's two other Republicans.,0.68
Unit volumes also set a record as notebooks accounted for more than 40 percent of sales.,"In May 2002, LCDs accounted for only 22 percent of monitor sales.",0.24
"Besides battling its sales slump, Siebel also has been sparring with some investors upset about huge stock option windfalls company managers have pocketed.","Besides a sales slump, Siebel is sparring with some shareholders over management stock option windfalls.",0.76
Stanford (51-17) and Rice (57-12) will play for the national championship tonight.,Rice (57-12) and Stanford (51-17) will meet in a winner-take-all matchup at 6:05 p.m. Monday.,0.7
"A 32-count indictment ""strikes at one of the very top targets in the drug trafficking world,"" U.S. Attorney Marcos Jimenez said.","The newly unsealed 32-count indictment alleges money laundering and conspiracy and ""strikes at one of the very top targets in the drug-trafficking world,"" Jiménez said.",0.7
A soldier was killed Monday and another wounded when their convoy was ambushed in northern Iraq.,"On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq.",0.4
"A cost analysis is under way, said Michael Rebell, CFE's executive director.","""We're not looking for a Robin Hood remedy,"" said Michael Rebell, the campaign's executive director.",0.4
"I was going to the court believing I could do this, only if I played my best tennis.","""I was believing that I was confident I could do this, but only in the case I would play my best tennis.",0.96
"Dotson told FBI agents that he shot Dennehy after the player tried to shoot him, according to the arrest warrant affidavit.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit.",0.76
"Dogs, he said, are second only to humans in the thoroughness of medical understanding and research.",He said that dogs are second only to humans in terms of being the subject of medical research.,0.92
"The stock rose $2.11, or about 11 percent, to close on Friday at $21.51 on the New York Stock Exchange.",PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.,0.28
Eric Gagne earned his 17th save in as many opportunities as he struck out three in the ninth and allowed only an infield single by Greg Norton.,Closer Eric Gagne earned his 17th save in as many opportunities as he struck out three of the four batters he faced in the ninth.,0.72
Blair's government included the charge that Saddam sought uranium from Niger in a September 2002 dossier setting out the case for military action.,Britain included the accusation in a September 2002 dossier setting out the case for war in Iraq.,0.6
"Not counting energy prices, wholesale prices were down 0.9 percent.","Energy prices dropped by 8.6 percent, the biggest decline since July 1986.",0.32
The spacecraft is scheduled to blast off as early as tomorrow or as late as Friday from the Jiuquan launching site in the Gobi Desert.,The spacecraft is scheduled to blast off between next Wednesday and Friday from a launching site in the Gobi Desert.,0.8
"Hong Kong was flat, Australia , Singapore and South Korea lost 0.2-0.4 percent.","Australia was flat, Singapore was down 0.3 percent by midday and South Korea added 0.2 percent.",0.48
"SUVs parked on residential streets in Monrovia were tagged with ""ELF"" and other slogans, and another was set ablaze in front of a house, Sgt. Tom Wright said.","Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans, said Sgt. Tom Wright.",0.7
At least 11 more cases in Indiana and three in Illinois are suspected.,There’s also at least three suspected cases in Illinois and 11 in Indiana.,1.0
"The pill, which they call the ""polypill,"" would contain aspirin, a cholesterol-lowering drug, three blood pressure-lowering drugs at half the standard dose and folic acid.","The ingredients of such a polypill would contain aspirin, a cholesterol-lowering statin, three blood pressure-lowering agents in half dose, and folic acid.",1.0
"""They drive around in their cars, while people are being killed 500 metres away,"" he said on Sunday.","""What they are doing right now is they drive around in their cars, while people are being killed 500 metres away.",0.8
"At Tuesday's arraignment hearing, Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements.",At the hearing he pleaded not guilty to the burial service fraud and false statements charges.,0.6
"Still, revenues from the extra premiums would not be huge.",How would the extra premiums be collected?,0.27
Semiconductor giant Intel Corp. said yesterday that its second-quarter profits doubled from a year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business.,Intel Corp.'s second-quarter profits doubled and revenues grew 8 percent from a year ago as the chip-making giant reported stronger-than-expected demand for personal computer microprocessors.,0.76
"Schroeder cancelled his Italian holiday after Stefani refused to apologise for the slurs, which came after Berlusconi compared a German politician to a Nazi concentration camp guard.",Stefani's remarks further stoked tension after Italian Prime Minister Silvio Berlusconi last week compared a German member of the European Parliament to a Nazi concentration camp guard.,0.6
"Dell's OpenManage software includes Dell Update Packages with SMS to help automate the management of server hardware, applications and operating systems patches with a single tool.","The update packages help ""automate the management of server hardware, applications and operating systems patches using one tool,"" which is unpleasantly vague.",0.53
"He'll be swept over any minute or just die of the cold, Moriarty thought.","From the top of the embankment, Moriarty thought, ""He'll be swept over any minute or just die of the cold.""",0.8
LURD's Ja'neh also called for an interim government and the deployment of a U.S.-led Western peacekeeping force.,The rebels are also calling for the deployment of a U.S.-led peacekeeping force.,0.6
"KEDO Spokesman, Roland Tricot said: ""The executive board decided to refer this question to capitals.","""The executive board decided to refer this to the capitals,"" the Korean Energy Development Organization said.",0.8
"Benchmark Treasury 10-year notes gained 17/32, yielding 4.015 percent.","The benchmark 10-year note was recently down 17/32, to yield 4.067 percent.",0.55
Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.,0.8
"Volume was moderate at 827.68 million shares, up from 798.95 million at the same point Tuesday.","Volume came to 439.66 million shares, below 450.39 million at the same point Wednesday.",0.3
"Penn Traffic's stock closed at 36 cents per share on Wednesday on Nasdaq, up two cents.","Penn Traffic stock closed Wednesday at 36 cents, up 2 cents, or 6.2 percent, from Tuesday's close.",0.75
Hotly contested legislation that would change the state's takeover law and help a Michigan-based development company fend off a takeover cleared the state Senate on Thursday.,Legislation that would change state takeover law and help Bloomfield Hills-based Taubman Centers Inc. fend off a $1-billion takeover won committee approval Tuesday.,0.55
"However, other unions including the powerful CGT remained opposed to the reform and demanded the government begin fresh negotiations with them.","The powerful CGT and other unions remained opposed to the plans, however, and demanded the government renegotiate the reform with them.",0.8
The family owns Cheetahs strip clubs here and in Las Vegas.,The searches were conducted simultaneously with raids on strip clubs in San Diego and Las Vegas.,0.3
"The new bill would have Medicare cover 95 percent of drug costs over $5,100.","Above that, seniors would be responsible for 100 percent of drug costs until the out-of-pocket total reaches $3,600.",0.36
"Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week.","A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.",0.8
Prairie dogs sold as exotic pets are believed to have been infected in an Illinois pet shop by a Gambian giant rat imported from Africa.,Prairie dogs are believed to have become infected in a pet shop through a Gambian rat imported from Africa.,0.72
